Number, Movie Name, Duration, Year, Director, Gross, IMDB Rating 
1., The Shawshank Redemption, 142 min, (1994) 
2., The Godfather, 175 min, (1972) 
3., The Dark Knight, 152 min, (2008) 
4., The Godfather: Part II, 202 min, (1974) 
5., The Lord of the Rings: The Return of the King, 201 min, (2003) 
6., Pulp Fiction, 154 min, (1994) 
7., Schindler's List, 195 min, (1993) 
8., 12 Angry Men, 96 min, (1957) 
9., Inception, 148 min, (2010) 
10., Fight Club, 139 min, (1999) 
11., The Lord of the Rings: The Fellowship of the Ring, 178 min, (2001) 
12., Forrest Gump, 142 min, (1994) 
13., Il buono, il brutto, il cattivo, 161 min, (1966) 
14., The Lord of the Rings: The Two Towers, 179 min, (2002) 
15., The Matrix, 136 min, (1999) 
16., Goodfellas, 146 min, (1990) 
17., Star Wars: Episode V - The Empire Strikes Back, 124 min, (1980) 
18., One Flew Over the Cuckoo's Nest, 133 min, (1975) 
19., Seppuku, 133 min, (1962) 
20., Gisaengchung, 132 min, (2019) 
21., Interstellar, 169 min, (2014) 
22., Cidade de Deus, 130 min, (2002) 
23., Sen to Chihiro no kamikakushi, 125 min, (2001) 
24., Saving Private Ryan, 169 min, (1998) 
25., The Green Mile, 189 min, (1999) 
26., La vita è bella, 116 min, (1997) 
27., Se7en, 127 min, (1995) 
28., The Silence of the Lambs, 118 min, (1991) 
29., Star Wars, 121 min, (1977) 
30., Shichinin no samurai, 207 min, (1954) 
31., It's a Wonderful Life, 130 min, (1946) 
32., Joker, 122 min, (2019) 
33., Avengers: Infinity War, 149 min, (2018) 
34., Whiplash, 106 min, (2014) 
35., The Intouchables, 112 min, (2011) 
36., The Prestige, 130 min, (2006) 
37., The Departed, 151 min, (2006) 
38., The Pianist, 150 min, (2002) 
39., Gladiator, 155 min, (2000) 
40., American History X, 119 min, (1998) 
41., The Usual Suspects, 106 min, (1995) 
42., Léon, 110 min, (1994) 
43., The Lion King, 88 min, (1994) 
44., Terminator 2: Judgment Day, 137 min, (1991) 
45., Nuovo Cinema Paradiso, 155 min, (1988) 
46., Hotaru no haka, 89 min, (1988) 
47., Back to the Future, 116 min, (1985) 
48., Once Upon a Time in the West, 165 min, (1968) 
49., Tengoku to jigoku, 143 min, (1963) 
50., Psycho, 109 min, (1960) 
